P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Arachis_hypogaea	Arachis_duranensis	Trifolium_pratense	4.324247034808927	7.658343557648273e-06	0.8260869565217391	1232.0	103.0	6.0	25.0	5.0	3.0	1.0	0.0	115.0	158.0	71.0	1.0	2.0	2.0	1.0
Arachis_hypogaea	Arachis_duranensis	Medicago_truncatula	4.1349477891114805	1.7761899524404434e-05	0.8368794326241135	1225.0	110.0	7.0	25.0	4.0	1.0	2.0	1.0	120.0	167.0	57.0	1.0	2.0	2.0	1.0
Arachis_ipaensis	Arachis_duranensis	Trifolium_pratense	3.6936328052979945	0.00011056730974523532	0.7065217391304348	1055.0	77.0	33.0	37.0	15.0	35.0	10.0	3.0	75.0	122.0	44.0	4.0	9.0	7.0	4.0
Arachis_ipaensis	Arachis_duranensis	Medicago_truncatula	3.652210911722523	0.00013002965425168433	0.6888888888888889	1047.0	85.0	37.0	40.0	8.0	32.0	12.0	4.0	74.0	128.0	39.0	6.0	8.0	6.0	4.0
Medicago_truncatula	Trifolium_pratense	Glycine_max	3.7031329181518733	0.00010650683404200834	0.5266666666666667	5688.0	220.0	167.0	199.0	28.0	226.0	128.0	29.0	207.0	3151.0	221.0	31.0	130.0	192.0	27.0
Medicago_truncatula	Trifolium_pratense	Arachis_hypogaea	3.5463649723344295	0.00019533336612276297	0.7563025210084032	5519.0	386.0	171.0	180.0	44.0	218.0	122.0	42.0	302.0	2965.0	303.0	55.0	137.0	163.0	25.0
Medicago_truncatula	Trifolium_pratense	Arachis_ipaensis	3.402670215417657	0.0003337052507246252	0.7672413793103449	5399.0	377.0	167.0	169.0	45.0	209.0	115.0	40.0	293.0	2876.0	294.0	54.0	128.0	152.0	26.0
Medicago_truncatula	Trifolium_pratense	Arachis_duranensis	3.6455219191821406	0.00013345883438309336	0.7203791469194313	4783.0	333.0	158.0	177.0	40.0	206.0	118.0	39.0	270.0	2556.0	249.0	47.0	134.0	153.0	25.0
Medicago_truncatula	Glycine_max	Arachis_hypogaea	4.192053557612404	1.3830587547891682e-05	0.478021978021978	5524.0	329.0	167.0	238.0	42.0	284.0	143.0	37.0	230.0	2929.0	239.0	61.0	153.0	222.0	34.0
Medicago_truncatula	Glycine_max	Arachis_ipaensis	3.9289207766736736	4.2681795582089066e-05	0.47305389221556887	5403.0	320.0	164.0	228.0	42.0	277.0	140.0	36.0	219.0	2829.0	231.0	60.0	151.0	210.0	34.0
Medicago_truncatula	Glycine_max	Arachis_duranensis	4.265504799702261	9.979358018274986e-06	0.4860335195530726	4790.0	292.0	152.0	222.0	35.0	253.0	130.0	32.0	217.0	2539.0	199.0	53.0	140.0	202.0	32.0
Medicago_truncatula	Trifolium_pratense	Glycine_max	3.7031329181518733	0.00010650683404200834	0.5266666666666667	5688.0	220.0	167.0	199.0	28.0	226.0	128.0	29.0	207.0	3151.0	221.0	31.0	130.0	192.0	27.0
Medicago_truncatula	Trifolium_pratense	Arachis_hypogaea	3.5463649723344295	0.00019533336612276297	0.7563025210084032	5519.0	386.0	171.0	180.0	44.0	218.0	122.0	42.0	302.0	2965.0	303.0	55.0	137.0	163.0	25.0
Medicago_truncatula	Trifolium_pratense	Arachis_ipaensis	3.402670215417657	0.0003337052507246252	0.7672413793103449	5399.0	377.0	167.0	169.0	45.0	209.0	115.0	40.0	293.0	2876.0	294.0	54.0	128.0	152.0	26.0
Medicago_truncatula	Trifolium_pratense	Arachis_duranensis	3.6455219191821406	0.00013345883438309336	0.7203791469194313	4783.0	333.0	158.0	177.0	40.0	206.0	118.0	39.0	270.0	2556.0	249.0	47.0	134.0	153.0	25.0
Medicago_truncatula	Glycine_max	Arachis_hypogaea	4.192053557612404	1.3830587547891682e-05	0.478021978021978	5524.0	329.0	167.0	238.0	42.0	284.0	143.0	37.0	230.0	2929.0	239.0	61.0	153.0	222.0	34.0
Medicago_truncatula	Glycine_max	Arachis_ipaensis	3.9289207766736736	4.2681795582089066e-05	0.47305389221556887	5403.0	320.0	164.0	228.0	42.0	277.0	140.0	36.0	219.0	2829.0	231.0	60.0	151.0	210.0	34.0
Medicago_truncatula	Glycine_max	Arachis_duranensis	4.265504799702261	9.979358018274986e-06	0.4860335195530726	4790.0	292.0	152.0	222.0	35.0	253.0	130.0	32.0	217.0	2539.0	199.0	53.0	140.0	202.0	32.0
Glycine_max	Arachis_hypogaea	Arachis_ipaensis	4.453463274835247	4.228486542467991e-06	0.2898550724637681	1267.0	108.0	100.0	114.0	32.0	127.0	16.0	12.0	56.0	170.0	22.0	24.0	21.0	37.0	12.0
Glycine_max	Arachis_hypogaea	Arachis_duranensis	3.9296739666201503	4.254834881711744e-05	0.18292682926829268	1294.0	81.0	78.0	147.0	21.0	133.0	13.0	9.0	43.0	191.0	14.0	17.0	13.0	55.0	9.0
Trifolium_pratense	Arachis_hypogaea	Arachis_ipaensis	3.70165316119448	0.0001071299579853413	0.26956521739130435	1247.0	103.0	101.0	102.0	28.0	141.0	18.0	15.0	49.0	168.0	30.0	28.0	21.0	50.0	8.0
Trifolium_pratense	Arachis_hypogaea	Arachis_duranensis	3.5091879061653612	0.0002247822490331064	0.17333333333333334	1272.0	78.0	75.0	138.0	18.0	149.0	14.0	11.0	40.0	188.0	19.0	21.0	15.0	66.0	5.0
Arachis_ipaensis	Arachis_duranensis	Arachis_hypogaea	4.981396763798175	3.161250821115402e-07	0.6850393700787402	1383.0	133.0	11.0	44.0	3.0	44.0	4.0	1.0	91.0	315.0	52.0	1.0	2.0	34.0	0.0
Glycine_max	Arachis_hypogaea	Arachis_ipaensis	4.453463274835247	4.228486542467991e-06	0.2898550724637681	1267.0	108.0	100.0	114.0	32.0	127.0	16.0	12.0	56.0	170.0	22.0	24.0	21.0	37.0	12.0
Glycine_max	Arachis_hypogaea	Arachis_duranensis	3.9296739666201503	4.254834881711744e-05	0.18292682926829268	1294.0	81.0	78.0	147.0	21.0	133.0	13.0	9.0	43.0	191.0	14.0	17.0	13.0	55.0	9.0
